0	KUK64756.1	97.854	466	10	0	1	466	1	466	0.0	937
0	KUK65578.1	28.012	332	209	10	152	459	162	487	4.68e-29	115
0	KUK64167.1	31.915	235	146	6	238	462	371	601	8.65e-23	97.4
0	KUK64167.1	25.806	62	46	0	188	249	201	262	1.73e-04	39.7
0	KUK63232.1	31.222	221	136	7	234	442	222	438	4.58e-21	91.3
0	KUK63232.1	25.556	90	67	0	154	243	20	109	8.02e-05	40.8
0	KUK65270.1	28.522	291	175	10	202	465	596	880	3.64e-19	86.7
0	KUK64605.1	21.393	201	152	3	256	455	504	699	5.38e-09	54.3
0	KUK63541.1	27.586	87	63	0	365	451	1	87	5.40e-08	47.0
0	KUK65412.1	23.301	206	134	5	256	451	847	1038	4.51e-07	48.1
